stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr,,
MXN=X,16.7551,12561,16.5236,-2907.8715,-1.38,2015-11-10,2015-11-24,10,27,19,0.059868339,0.021115959,2.835217637,,
INR=X,67.071,3139,66.428,-2018.377,-0.96,2015-12-15,2015-12-17,2,77,35,0.037423029,0.008796648,4.254237288,,
INR=X,66.428,3162,66.936,1606.296,0.76,2015-12-17,2016-01-14,18,77,35,0.037785271,0.008881797,4.254237288,,
EURUSD=X,1.0895,193195,1.1123,4404.846,2.09,2016-01-19,2016-02-18,19,61,31,0.087379532,0.03285911,2.659217877,,
EURHUF=X,316.52,665,307.049,-6298.215,-2.99,2015-12-14,2016-02-23,46,173,156,0.097466195,0.029874889,3.262478849,,
NZDUSD=X,0.6777,310030,0.6867,2790.27,1.33,2016-03-21,2016-04-25,22,37,43,0.078648369,0.02478973,3.172619048,,
THB=X,35.116,6003,35.495,2275.137,1.08,2016-04-27,2016-05-18,14,70,28,0.062165395,0.019848502,3.131994261,,
NZDUSD=X,0.6932,304129,0.6762,-5170.193,-2.45,2016-05-04,2016-05-19,11,37,88,0.076889786,0.02423543,3.172619048,,
INR=X,66.591,3165,67.304,2256.645,1.07,2016-05-12,2016-05-26,10,60,15,0.049421093,0.014566533,3.392783505,,
EURHUF=X,313.52,670,313.809,193.63,0.09,2016-04-01,2016-05-31,40,362,78,0.098398826,0.039305307,2.503448836,,
INR=X,67.304,3129,67.073,-722.799,-0.34,2016-05-26,2016-06-16,14,60,28,0.04889754,0.014412219,3.392783505,,
EURSEK=X,9.3653,22469,9.4806,2590.6757,1.23,2016-06-17,2016-07-08,14,97,28,0.052192669,0.016956211,3.078085642,,
AUDUSD=X,0.76,277768,0.7676,2111.0368,1,2016-08-03,2016-08-16,9,85,18,0.090657895,0.030657895,2.957081545,1055811.617,1.731802936
HKD=X,7.758,27210,7.7554,-70.746,-0.03,2016-08-01,2016-09-08,28,134,56,0.009938128,0.002126837,4.672727273,,
IDR=X,13209,16,13176,-528,-0.25,2016-08-23,2016-09-12,14,63,27,0.057536528,0.013399955,4.293785311,,
EURSEK=X,9.5645,22071,9.5568,-169.9467,-0.08,2016-07-29,2016-09-19,35,97,70,0.051105651,0.016603063,3.078085642,,
EURCHF=X,1.0973,194090,1.0839,-2600.806,-1.22,2016-09-02,2016-09-30,19,54,50,0.046022054,0.010571403,4.353448276,,
AUDUSD=X,0.7651,275813,0.7644,-193.0691,-0.09,2016-09-09,2016-10-03,15,111,29,0.090053588,0.034635995,2.6,,
EURHUF=X,317.268,663,304.914,-8190.702,-3.89,2016-06-27,2016-10-06,71,362,163,0.097236406,0.03884098,2.503448836,,
EURCHF=X,1.0916,190354,1.0853,-1199.2302,-0.58,2016-10-06,2016-11-01,17,104,34,0.046262367,0.017222426,2.686170213,,
HKD=X,7.7573,27176,7.7561,-32.6112,-0.02,2016-09-13,2016-11-25,51,134,101,0.009939025,0.002526652,3.933673469,,
EURSEK=X,9.6431,21873,9.7605,2567.8902,1.22,2016-09-28,2016-11-25,41,171,57,0.050689094,0.019827649,2.556485356,,
IDR=X,13449,15,13314,-2025,-1,2016-12-23,2017-01-10,9,69,17,0.08766451,0.029444568,2.977272727,,
